,close_high,close_left,close_left_and_high,close_right,close_right_and_high,clubName,high_centre,high_left,high_right,low_centre,low_left,low_right,player,player_id,saves
0,3,3,1,4,0,FC Dallas,9,4,6,9,10,4,Matt Hedges,110592,0
1,0,2,0,0,0,Houston Dynamo,0,0,0,1,1,0,Chandler Hoffman,110593,0
2,0,1,0,0,0,New York Red Bulls,1,0,0,0,1,1,Gideon Baah,160396,0
3,2,1,0,1,1,Philadelphia Union,1,3,4,6,3,4,Antoine Hoppenot,110595,0
4,2,1,0,1,1,Houston Dynamo,2,0,1,1,3,1,Raul Rodriguez,90116,0
5,0,0,0,1,0,Orlando City SC,1,0,0,1,2,0,Amro Tarek Abdel-Aziz,212993,0
6,0,0,0,0,0,Chicago Fire,0,0,0,0,0,1,Hunter Jumper,110601,0
7,0,1,0,0,0,Atlanta United FC,3,0,0,1,0,0,Chris McCann,20491,0
8,0,2,0,0,0,Los Angeles Football Club,1,2,7,3,2,2,Calum Mallace,110606,0
9,7,4,4,6,3,Montreal Impact,8,7,14,19,16,10,Didier Drogba,12303,0
10,6,15,1,12,2,D.C. United,8,7,17,33,19,32,Darren Mattocks,110608,0
11,0,0,0,0,0,New York Red Bulls,0,0,0,0,0,0,Ryan Meara,110609,0
12,0,0,0,0,0,LA Galaxy,0,0,0,0,0,0,Tommy Meyer,110610,0
13,1,3,0,0,0,Vancouver Whitecaps FC,0,3,5,5,4,4,Matías Laba,86035,0
14,0,0,0,0,0,Montreal Impact,0,0,2,3,0,3,Alejandro Silva,120760,0
15,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Mawxell Griffin,106518,0
16,0,0,0,0,0,New England Revolution,0,0,0,0,1,0,,110615,0
17,0,0,0,0,0,Vancouver Whitecaps FC,0,3,2,1,0,0,Carlyle Mitchell,106520,0
18,0,0,0,0,0,Philadelphia Union,0,0,0,0,0,0,Morgan Langley,106521,0
19,0,0,0,2,0,Real Salt Lake,0,1,3,3,2,0,Yordany Alvarez,106522,0
20,10,22,3,15,4,New England Revolution,11,20,36,37,25,29,Kelyn Rowe,110619,0
21,0,0,0,0,0,Vancouver Whitecaps FC,0,0,0,0,0,0,Brian Rowe,110620,0
22,0,0,0,0,0,San Jose Earthquakes,0,0,2,1,0,0,Billy Schuler,110622,0
23,0,0,0,0,0,Chicago Fire,0,0,0,0,0,0,Mohammed Adams,200735,0
24,6,14,0,14,4,Real Salt Lake,7,13,13,28,20,24,Luis Silva,110624,0
25,1,0,0,0,0,FC Dallas,0,0,0,3,0,0,Rolando Escobar,53281,0
26,0,1,0,1,0,D.C. United,2,1,4,1,3,2,Casey Townsend,110627,0
27,0,4,2,1,0,Portland Timbers,1,4,5,3,9,9,Jorge Villafaña,45092,0
28,0,0,0,1,0,Columbus Crew SC,0,0,0,0,0,0,,110629,0
29,0,0,0,0,0,LA Galaxy,0,0,0,0,1,0,Kenney Walker,110630,0
30,2,11,1,15,2,Houston Dynamo,5,8,11,28,22,21,Andrew Wenger,110633,0
31,0,1,0,0,0,Chivas USA,0,0,2,0,1,2,Edgar Mejía,43015,0
32,0,2,0,1,0,Portland Timbers,0,2,2,2,1,1,Larrys Mabiala,41004,0
33,10,21,6,13,3,Los Angeles Football Club,8,23,27,26,27,30,Benny Feilhaber,20525,0
34,0,0,0,0,0,New England Revolution,0,0,1,0,0,0,Brian Wright,180233,0
35,0,1,0,0,0,Orlando City SC,2,5,2,5,5,0,Oriol Rosell Argerich,102456,0
36,1,10,1,4,0,Real Salt Lake,5,6,5,13,7,7,Jefferson Savarino,196666,0
37,3,7,0,5,2,Portland Timbers,3,5,5,3,8,8,Dairon Asprilla,149675,0
38,1,6,0,1,0,Columbus Crew SC,3,3,3,1,1,1,Corey Ashe,41653,0
39,2,5,1,6,0,Philadelphia Union,1,6,3,5,8,3,Ilson Pereira Dias Júnior,45120,0
40,4,1,1,4,0,Atlanta United FC,3,4,6,15,5,12,Salvatore Zizzo,45122,0
41,0,0,0,0,0,Orlando City SC,0,0,0,0,0,0,Tyler Turner,180291,0
42,1,1,0,0,0,Seattle Sounders FC,0,0,0,0,0,0,Tony Alfaro,221252,0
43,0,0,0,1,0,Real Salt Lake,0,0,0,0,1,1,Emiliano Bonfigli,110663,0
44,0,0,0,0,0,New England Revolution,0,0,0,0,0,0,Tyler Polak,110664,0
45,1,1,0,2,0,Chivas USA,2,4,2,0,3,1,Andrew Baptiste,110665,0
46,0,2,0,2,0,New York Red Bulls,0,2,1,0,2,4,Tyler Adams,200785,0
47,0,0,0,0,0,Atlanta United FC,0,1,0,0,1,0,Franco Escobar,193891,0
48,0,0,0,0,0,Real Salt Lake,0,0,0,0,0,1,Rich Balchan,94293,0
49,3,5,2,9,1,Sporting Kansas City,2,14,5,17,9,12,Bernardo Anor,94295,0
50,14,20,1,23,3,Orlando City SC,12,23,33,38,26,39,Giles Barnes,20568,0
51,1,1,0,0,0,Colorado Rapids,2,1,1,0,2,0,Enzo Martinez,110607,0
52,2,0,0,0,0,San Jose Earthquakes,0,1,0,1,0,1,Henok Goitom,17322,0
53,0,0,0,0,0,D.C. United,0,0,0,0,0,0,Steve Cronin,41658,0
54,0,1,1,2,0,Chivas USA,0,1,2,6,4,4,Érik Correa,114784,0
55,0,0,0,0,0,Portland Timbers,0,1,0,0,0,0,Jeff Attinella,94305,0
56,0,0,0,0,0,Sporting Kansas City,0,1,0,0,2,0,Wan Kuzain bin Wan Kamal,249958,0
57,0,0,0,0,0,Houston Dynamo,0,0,0,1,0,0,Mac Steeves,442472,0
58,0,0,0,0,0,Houston Dynamo,0,0,0,0,0,0,Taylor Hunter,204905,0
59,0,0,0,0,0,FC Dallas,0,0,1,0,0,0,Aarón Guillén,221292,0
60,1,1,0,4,0,Seattle Sounders FC,0,0,1,2,0,0,Jonathan Jaqua,41661,0
61,1,0,0,0,0,FC Dallas,0,0,0,1,0,1,Hernan Pertuz,110714,0
62,0,1,0,0,0,Portland Timbers,0,0,0,1,0,0,Brent Richards,110715,0
63,0,0,0,0,0,FC Dallas,0,0,0,0,0,0,Aubrey David,77948,0
64,1,0,0,1,0,Vancouver Whitecaps FC,0,0,1,1,0,1,Martin Bonjour,110718,0
65,3,6,1,4,0,Minnesota United FC,2,3,5,11,16,11,Kevin Molino,77952,0
66,1,0,0,1,0,Atlanta United FC,0,1,0,0,0,0,Mikey Ambrose,135297,0
67,0,0,0,0,0,Seattle Sounders FC,0,0,0,0,0,0,Philip Lund,61570,0
68,0,1,0,0,1,Toronto FC,1,1,1,6,1,1,Tsubasa Endoh,135300,0
69,1,0,0,0,2,Orlando City SC,0,0,2,3,0,3,Josué Colman,217788,0
70,0,0,0,0,0,LA Galaxy,0,0,1,0,0,0,Oscar Sorto,148844,0
71,0,0,0,0,0,Chicago Fire,0,1,0,0,0,0,Daneil Cyrus,77962,0
72,4,1,0,0,1,Sporting Kansas City,0,1,2,2,3,3,Ilie Sánchez,86155,0
73,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Andreas Görlitz,12428,0
74,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Edmundo Zura,78530,0
75,5,7,0,5,0,Chicago Fire,8,6,13,22,13,30,Nemanja Nikolic,82064,0
76,0,0,0,3,0,Los Angeles Football Club,1,2,1,8,5,3,Diego Rossi,223256,0
77,0,0,0,0,0,Sporting Kansas City,0,0,0,0,0,1,James Musa,119491,0
78,0,1,0,0,0,Chivas USA,0,0,2,0,1,1,Mario de Luna,45204,0
79,0,0,0,1,0,Montreal Impact,0,0,0,3,0,1,Amadou Dia,204950,0
80,0,1,0,1,0,Houston Dynamo,1,2,2,2,2,1,Leonel Miranda,151704,0
81,0,0,0,0,0,Philadelphia Union,0,0,0,0,0,0,Jimmy McLaughlin,102553,0
82,0,0,0,1,0,Seattle Sounders FC,0,0,1,3,2,0,,102554,0
83,0,1,0,0,0,Toronto FC,0,0,1,1,0,0,,12443,0
84,2,0,1,3,1,Seattle Sounders FC,3,0,3,2,11,5,Andy Rose,110618,0
85,0,1,0,0,0,Colorado Rapids,1,0,2,2,0,0,,4254,0
86,11,18,0,15,5,Orlando City SC,14,18,31,37,28,38,Justin Meram,94368,0
87,1,2,0,1,1,Colorado Rapids,4,4,5,2,2,2,Bobby Burling,41670,0
88,0,0,0,1,1,Chicago Fire,2,4,2,3,3,0,Eric Gehrig,94375,0
89,3,14,4,9,1,Seattle Sounders FC,1,5,6,10,13,13,Nicolás Lodeiro,77992,0
90,0,0,0,0,0,Real Salt Lake,0,1,1,1,0,0,Marcelo Silva,77994,0
